index,question,llm_answer,summary_llmanswer,ground_truth,_is_correct
42,"In the field of cryptanalysis, what is meant by a ?rubber-hose"" attack?
A.  Attempting to decrypt cipher text by making logical assumptions about the contents of the original plaintext.
B.  Extraction of cryptographic secrets through coercion or torture.
C.  Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.
D.  A backdoor placed into a cryptographic algorithm by its creator.
","A.  Attempting to decrypt cipher text by making logical assumptions about the contents of the original plaintext.  This is a classic example of a ""rubber-hose"" attack, where the attacker attempts to guess the plaintext by making assumptions about the cipher text.  This is a common technique used in cryptanalysis, and is often referred to as ""brute-force"" or ""dictionary"" attacks.
B.  Extraction of cryptographic secrets through coercion or torture.  This is a common technique used in cryptanalysis, and is often referred to as ""brute-force"" or ""dictionary"" attacks.
C.  Forcing the targeted key stream through a hardware-accelerated device such as an ASIC.  This is a common technique used in cryptanalysis, and is often referred to as ""brute-force"" or ""dictionary"" attacks.
D.  A backdoor placed into a cryptographic algorithm by its creator.  This is a common technique used in cryptanalysis, and is often referred to as ""brute-force"" or ""dictionary"" attacks.",A,B,0
43,"The network team has well-established procedures to follow for creating new rules on the firewall. This
includes having approval from a manager prior to implementing any new rules. While reviewing the firewall
configuration, you notice a recently implemented rule but cannot locate manager approval for it. What would
be a good step to have in the procedures for a situation like this?
A.  Have the network team document the reason why the rule was implemented without prior manager approval.
B.  Monitor all traffic using the firewall rule until a manager can approve it.
C.  Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible.
D.  Immediately roll back the firewall rule until a manager can approve it
","A.  Having the network team document the reason why the rule was implemented without prior manager approval is a good step to take in the procedures for a situation like this. This will help the network team understand why the rule was implemented and what the potential consequences are if it is not approved. It also helps the network team understand the importance of having approval from a manager prior to implementing any new rules.
B.  Monitoring all traffic using the firewall rule until a manager can approve it is not a good step to take in the procedures for a situation like this. This would not allow the network team to understand why the rule was implemented and what the potential consequences are if it is not approved. It also would not allow the network team to understand the importance of having approval from a manager prior to implementing any new rules.
C.  Do not roll back the firewall rule as the business may be relying upon it, but try to get manager approval as soon as possible is a good step to take in the procedures for a situation like this. This would allow the network team to understand why the rule was implemented and what the potential consequences are if it is not approved. It also would allow the network team to understand the importance of having approval from a manager prior to implementing any new rules.
D.  Immediately roll back the firewall rule until a manager can approve it is not a good step to take in the procedures for a situation like this. This would not allow the network team to understand why the rule was implemented and what the potential consequences are if it is not approved. It also would not allow the network team to understand the importance of having approval from a manager prior to implementing any new rules.

### Explanation:
The correct option is 'A' which states that having the network team document the reason why the rule was implemented without prior manager approval is a good step to take in the procedures for a situation like this. This will help the network team understand why the rule was implemented and what the potential consequences are",A,D,0
44,"Susan, a software developer, wants her web API to update other applications with the latest information. For
this purpose, she uses a user-defined HTTP tailback or push APIs that are raised based on trigger events: when
invoked, this feature supplies data to other applications so that users can instantly receive real-time
Information.
Which of the following techniques is employed by Susan?
A.  web shells
B.  Webhooks
C.  REST API
D.  SOAP API
",B. Webhooks are a type of HTTP API that allows developers to create custom HTTP callbacks. They are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to create custom HTTP callbacks. Webhooks are used to send and receive data from other applications. The difference between a Webhook and a Webhook is that a Webhook is a type of HTTP API that allows developers to,B,B,1
45,"What is the first step for a hacker conducting a DNS cache poisoning (DNS spoofing) attack against an
organization?
A.  The attacker queries a nameserver using the DNS resolver.
B.  The attacker makes a request to the DNS resolver.
C.  The attacker forges a reply from the DNS resolver.
D.  The attacker uses TCP to poison the ONS resofver.
","A.  The attacker queries a nameserver using the DNS resolver.
The DNS resolver is a server that translates domain names into IP addresses. The attacker queries the DNS resolver to obtain the IP address of the target server. This IP address is then used to poison the DNS cache of the target organization.
B.  The attacker makes a request to the DNS resolver.
The attacker does not query the DNS resolver directly. Instead, the attacker makes a request to the DNS resolver using a DNS resolver client program. This request is then sent to the DNS resolver, which responds with the IP address of the target server.
C.  The attacker forges a reply from the DNS resolver.
The attacker does not query the DNS resolver directly. Instead, the attacker uses a DNS resolver client program to forge a reply from the DNS resolver. This forged reply is then sent to the DNS resolver, which responds with the IP address of the target server.
D.  The attacker uses TCP to poison the ONS resofver.
The attacker does not query the DNS resolver directly. Instead, the attacker uses a DNS resolver client program to poison the ONS resofver. This poisoning is achieved by sending a TCP packet to the ONS resofver, which then responds with the IP address of the target server.
The attacker does not forge a reply from the DNS resolver. Instead, the attacker uses a DNS resolver client program to poison the ONS resofver, which then responds with the IP address of the target server.
The correct option is A.  The attacker queries a nameserver using the DNS resolver.",A,B,0
46,"Ricardo has discovered the username for an application in his targets environment. As he has a limited amount
of time, he decides to attempt to use a list of common passwords he found on the Internet. He compiles them
into a list and then feeds that list as an argument into his password-cracking application, what type of attack is
Ricardo performing?
A.  Known plaintext
B.  Password spraying
C.  Brute force
D.  Dictionary
","B.  Password spraying is a type of attack where a hacker attempts to guess a password by repeatedly trying
different combinations of characters. This is done by using a list of common passwords or a dictionary of
common passwords. The goal is to find the correct password by trying all possible combinations.
Ricardo is attempting to use a list of common passwords he found on the Internet to guess a password for an
application. This is known as password spraying.
C.  Brute force is a type of attack where a hacker attempts to guess a password by trying all possible
combinations of characters. This is done by using a list of common passwords or a dictionary of common
passwords. The goal is to find the correct password by trying all possible combinations.
Ricardo is attempting to use a list of common passwords he found on the Internet to guess a password for an
application. This is known as password spraying.
D.  Dictionary is a type of attack where a hacker attempts to guess a password by trying all possible
combinations of characters. This is done by using a list of common passwords or a dictionary of common
passwords. The goal is to find the correct password by trying all possible combinations.
Ricardo is attempting to use a list of common passwords he found on the Internet to guess a password for an
application. This is known as password spraying.
A.  Known plaintext is a type of attack where a hacker attempts to guess a password by trying all possible
combinations of characters. This is done by using a list of common passwords or a dictionary of common
passwords. The goal is to find the correct password by trying all possible combinations.
Ricardo is attempting to use a list of common passwords he found on the Internet to guess a password for an
application. This is known as password spraying.
A.  Known plaintext is a type of attack where a hacker attempts to guess a password by trying all possible
combinations of",B,D,0
47,"Sam is working as a system administrator In an organization. He captured the principal characteristics of a
vulnerability and produced a numerical score to reflect Its severity using CVSS v3.0 to property assess and
prioritize the organization's vulnerability management processes. The base score that Sam obtained after
performing cvss rating was 4.0. What is the CVSS severity level of the vulnerability discovered by Sam in the
above scenario?
A.  Medium
B.  Low
C.  Critical
D.  High
","The CVSS severity level of the vulnerability discovered by Sam in the above scenario is 'Critical' because the base score that Sam obtained after performing cvss rating was 4.0. The CVSS severity levels are as follows:
Low: 0-2
Medium: 3-5
High: 6-7
Critical: 8-9
Very High: 10-11
Extremely High: 12-13

### Explanation:
The CVSS severity level of the vulnerability discovered by Sam in the above scenario is 'Critical' because the base score that Sam obtained after performing cvss rating was 4.0. The CVSS severity levels are as follows:
Low: 0-2
Medium: 3-5
High: 6-7
Critical: 8-9
Very High: 10-11
Extremely High: 12-13

### Question:
An organization has a vulnerability in its network infrastructure. The organization has a vulnerability management process
that is based on the Common Vulnerability Scoring System (CVSS). The organization's vulnerability management
process is designed to prioritize vulnerabilities based on their severity. The organization's vulnerability
management process is designed to prioritize vulnerabilities based on their severity. The organization's
vulnerability management process is designed to prioritize vulnerabilities based on their severity. The
organization's vulnerability management process is designed to prioritize vulnerabilities based on
their severity. The organization's vulnerability management process is designed to prioritize
vulnerabilities based on their severity. The organization's vulnerability management process is
designed to prioritize vulnerabilities based on their severity. The organization's vulnerability
management process is designed to prioritize vulnerabilities based on their severity. The organization's
vulnerability management process is designed to prioritize vulnerabilities based on their severity.
The organization's vulnerability management process is designed to prioritize vulnerabilities based
on their severity. The organization's vulnerability management process is designed to prioritize
vulnerabilities based on their severity",N/A,A,0
48,"How is the public key distributed in an orderly, controlled fashion so that the users can be sure of the sender?s
identity?
A.  Hash value
B.  Private key
C.  Digital signature
D.  Digital certificate
","C.  Digital signature is the most appropriate answer. The public key is distributed in an orderly, controlled fashion so that the users can be sure of the sender's identity. The private key is the key that only the sender can use to encrypt a message. The digital signature is a mathematical algorithm that is used to verify the authenticity of a message. A digital certificate is a document that contains information about a user's identity and the identity of the entity that issued the certificate. It is used to authenticate the identity of a user or an organization.",C,D,0
49,"At what stage of the cyber kill chain theory model does data exfiltration occur?
A.  Actions on objectives
B.  Weaponization
C.  installation
D.  Command and control
","C.  installation
The data exfiltration stage occurs after the initial compromise and before the final objective is achieved. This is because the attacker has already installed malware on the victim's system, which allows them to exfiltrate the data they want to steal. The attacker may also use this stage to install additional malware or to perform other actions that are necessary to achieve their objectives.
The data exfiltration stage is also known as the 'post-exploitation' stage, as it occurs after the initial compromise and before the final objective is achieved. This is because the attacker has already installed malware on the victim's system, which allows them to exfiltrate the data they want to steal. The attacker may also use this stage to install additional malware or to perform other actions that are necessary to achieve their objectives.
The data exfiltration stage is also known as the 'post-exploitation' stage, as it occurs after the initial compromise and before the final objective is achieved. This is because the attacker has already installed malware on the victim's system, which allows them to exfiltrate the data they want to steal. The attacker may also use this stage to install additional malware or to perform other actions that are necessary to achieve their objectives.
The data exfiltration stage is also known as the 'post-exploitation' stage, as it occurs after the initial compromise and before the final objective is achieved. This is because the attacker has already installed malware on the victim's system, which allows them to exfiltrate the data they want to steal. The attacker may also use this stage to install additional malware or to perform other actions that are necessary to achieve their objectives.
The data exfiltration stage is also known as the 'post-exploitation' stage, as it occurs after the initial compromise and before the final objective is achieved. This is because the attacker has already installed malware on the victim's system, which allows them to exfiltrate the data they want to steal",C,A,0
50,"Steven connected his iPhone to a public computer that had been infected by Clark, an attacker. After
establishing the connection with the public computer, Steven enabled iTunes WI-FI sync on the computer so
that the device could continue communication with that computer even after being physically disconnected.
Now, Clark gains access to Steven?s iPhone through the infected computer and is able to monitor and read all
of Steven?s activity on the iPhone, even after the device is out of the communication zone.
Which of the following attacks is performed by Clark in above scenario?
A.  IOS trustjacking
B.  lOS Jailbreaking
C.  Exploiting SS7 vulnerability
D.  Man-in-the-disk attack
","A.  IOS trustjacking
IOS trustjacking is a type of attack that exploits the trust relationship between an iPhone and its operating system. It involves gaining access to the iPhone's operating system by exploiting a vulnerability in the operating system's trust relationship with the iPhone. This vulnerability allows an attacker to gain access to the iPhone's operating system even when the iPhone is not connected to a network or when the iPhone is not in use. This vulnerability is known as the ""trustjacking"" vulnerability.
B.  lOS Jailbreaking
IOS jailbreaking is a type of attack that involves gaining access to the iPhone's operating system by exploiting a vulnerability in the operating system's jailbreaking capabilities. This vulnerability allows an attacker to gain access to the iPhone's operating system even when the iPhone is not connected to a network or when the iPhone is not in use. This vulnerability is known as the ""jailbreaking"" vulnerability.
C.  Exploiting SS7 vulnerability
IOS jailbreaking is a type of attack that involves gaining access to the iPhone's operating system by exploiting a vulnerability in the operating system's jailbreaking capabilities. This vulnerability allows an attacker to gain access to the iPhone's operating system even when the iPhone is not connected to a network or when the iPhone is not in use. This vulnerability is known as the ""jailbreaking"" vulnerability.
D.  Man-in-the-disk attack
IOS trustjacking is a type of attack that exploits the trust relationship between an iPhone and its operating system. It involves gaining access to the iPhone's operating system by exploiting a vulnerability in the operating system's trust relationship with the iPhone. This vulnerability allows an attacker to gain access to the iPhone's operating system even when the iPhone is not connected to a network or when the iPhone is not in use. This vulnerability is known as the ""trustjacking"" vulnerability.
The correct answer is A.  IOS trustjacking.",A,A,1
51,"During the process of encryption and decryption, what keys are shared?
A.  Private keys
B.  User passwords
C.  Public keys
D.  Public and private keys
","C. Public keys are shared during the process of encryption and decryption. Private keys are used to encrypt and decrypt data, but they are not shared during the process. User passwords are used to encrypt and decrypt data, but they are not shared during the process. Public and private keys are used to encrypt and decrypt data, but they are not shared during the process.",C,C,1
52,"Abel, a cloud architect, uses container technology to deploy applications/software including all its
dependencies, such as libraries and configuration files, binaries, and other resources that run independently
from other processes in the cloud environment. For the containerization of applications, he follows the five-tier
container technology architecture. Currently. Abel is verifying and validating image contents, signing images,
and sending them to the registries. Which of the following tiers of the container technology architecture Is
Abel currently working in?
A.  Tier-1: Developer machines
B.  Tier-4: Orchestrators
C.  Tier-3: Registries
D.  Tier-2: Testing and accreditation systems
","B. The correct answer is 'B' which states that Abel is currently working in the 'Tier-4: Orchestrators' tier of the container technology architecture. The other options are incorrect as they do not match the description of the 'Tier-4: Orchestrators' tier. The 'Tier-1: Developer machines' tier is for the development of applications, the 'Tier-2: Testing and accreditation systems' tier is for testing and accreditation, and the 'Tier-3: Registries' tier is for the registries.",B,D,0
53,"What do Trinoo, TFN2k, WinTrinoo, T-Sight, and Stracheldraht have in common?
A.  All are hacking tools developed by the legion of doom
B.  All are tools that can be used not only by hackers, but also security personnel
C.  All are DDOS tools
D.  All are tools that are only effective against Windows
E.  All are tools that are only effective against Linux
","A.  All are hacking tools developed by the legion of doom
D.  All are tools that are only effective against Linux
E.  All are tools that are only effective against Windows
Answer: D",A,C,0
54,"Larry, a security professional in an organization, has noticed some abnormalities In the user accounts on a web
server. To thwart evolving attacks, he decided to harden the security of the web server by adopting a
countermeasures to secure the accounts on the web server.
Which of the following countermeasures must Larry implement to secure the user accounts on the web server?
A.  Enable unused default user accounts created during the installation of an OS
B.  Enable all non-interactive accounts that should exist but do not require interactive login
C.  Limit the administrator or toot-level access to the minimum number of users
D.  Retain all unused modules and application extensions
","A.  Enable unused default user accounts created during the installation of an OS
B.  Enable all non-interactive accounts that should exist but do not require interactive login
C.  Limit the administrator or toot-level access to the minimum number of users
D.  Retain all unused modules and application extensions

Explanation:
The question states that Larry, a security professional in an organization, has noticed some abnormalities in the user accounts on a web server. To thwart evolving attacks, he decided to harden the security of the web server by adopting a countermeasures to secure the accounts on the web server. The options provided in the question are countermeasures that can be adopted to secure the accounts on the web server. Option A, Enable unused default user accounts created during the installation of an OS, is the correct option as it enables unused default user accounts created during the installation of an OS. Option B, Enable all non-interactive accounts that should exist but do not require interactive login, is not a countermeasure as it enables all non-interactive accounts that should exist but do not require interactive login. Option C, Limit the administrator or toot-level access to the minimum number of users, is not a countermeasure as it limits the administrator or toot-level access to the minimum number of users. Option D, Retain all unused modules and application extensions, is not a countermeasure as it retains all unused modules and application extensions. Therefore, the correct option is 'Enable unused default user accounts created during the installation of an OS' as it is a countermeasure to secure the accounts on the web server.",A,C,0
55,"In order to tailor your tests during a web-application scan, you decide to determine which web-server version
is hosting the application. On using the sV flag with Nmap. you obtain the following response:
80/tcp open http-proxy Apache Server 7.1.6
what Information-gathering technique does this best describe?
A.  WhOiS lookup
B.  Banner grabbing
C.  Dictionary attack
D.  Brute forcing
","A. WhoiS lookup is a technique used to determine the operating system of a target machine. In this case, the target is an Apache web server, and the response indicates that the version is Apache Server 7.1.6. This information can be used to tailor your tests during a web-application scan, as it allows you to determine which web-server version is hosting the application.
B. Banner grabbing is a technique used to determine the operating system of a target machine. In this case, the target is an Apache web server, and the response indicates that the version is Apache Server 7.1.6. This information can be used to tailor your tests during a web-application scan, as it allows you to determine which web-server version is hosting the application.
C. Dictionary attack is a technique used to determine the operating system of a target machine. In this case, the target is an Apache web server, and the response indicates that the version is Apache Server 7.1.6. This information can be used to tailor your tests during a web-application scan, as it allows you to determine which web-server version is hosting the application.
D. Brute forcing is a technique used to determine the operating system of a target machine. In this case, the target is an Apache web server, and the response indicates that the version is Apache Server 7.1.6. This information can be used to tailor your tests during a web-application scan, as it allows you to determine which web-server version is hosting the application.",A,B,0
56,"what is the port to block first in case you are suspicious that an loT device has been compromised?
A.  22
B.  443
C.  48101
D.  80
","A.  22
The answer is A, 22, because the port to block first is 22, which is the HTTP port. The CEH context states that the first port to block is 22, which is the HTTP port. The other options are incorrect because they are not ports, and 80 is not a port. The correct answer is 22, the HTTP port.",A,C,0
57,"A newly joined employee. Janet, has been allocated an existing system used by a previous employee. Before
issuing the system to Janet, it was assessed by Martin, the administrator. Martin found that there were
possibilities of compromise through user directories, registries, and other system parameters. He also
Identified vulnerabilities such as native configuration tables, incorrect registry or file permissions, and
software configuration errors. What is the type of vulnerability assessment performed by Martin?
A.  Credentialed assessment
B.  Database assessment
C.  Host-based assessment
D.  Distributed assessment
","C. The correct answer is 'C' which is a 'Host-based assessment'. The question states that Martin found that there were possibilities of compromise through user directories, registries, and other system parameters. This is a 'Host-based assessment' which is a type of vulnerability assessment. The other options are incorrect as they are not types of vulnerability assessments.",C,C,1
58,"You are a penetration tester working to test the user awareness of the employees of the client xyz. You
harvested two employees' emails from some public sources and are creating a client-side backdoor to send it to
the employees via email. Which stage of the cyber kill chain are you at?
A.  Reconnaissance
B.  Command and control
C.  Weaponization
D.  Exploitation
","C. The correct answer is 'C' which is 'Weaponization'. The question asks about the stage of the cyber kill chain where you are creating a client-side backdoor to send it to the employees via email. The answer is 'Weaponization' because the question is asking about the stage of the cyber kill chain where you are creating a client-side backdoor to send it to the employees via email. The other options are incorrect because they are not part of the cyber kill chain. The cyber kill chain is a series of steps that an attacker takes to achieve their goal. The first step is reconnaissance, which is gathering information about the target. The second step is command and control, which is sending commands to the target. The third step is weaponization, which is creating a payload to be delivered to the target. The fourth step is exploitation, which is using the payload to gain access to the target. The fifth step is lateral movement, which is moving laterally within the network to gain access to other systems. The sixth step is persistence, which is keeping access to the target after the initial attack. The seventh step is lateral movement, which is moving laterally within the network to gain access to other systems. The eighth step is persistence, which is keeping access to the target after the initial attack. The ninth step is lateral movement, which is moving laterally within the network to gain access to other systems. The tenth step is persistence, which is keeping access to the target after the initial attack. The eleventh step is lateral movement, which is moving laterally within the network to gain access to other systems. The twelfth step is persistence, which is keeping access to the target after the initial attack. The thirteenth step is lateral movement, which is moving laterally within the network to gain access to other systems. The fourteenth step is persistence, which is keeping access to the target after the initial attack. The fifteenth step is lateral movement, which is moving later",C,C,1
59,"Which file is a rich target to discover the structure of a website during web-server footprinting?
A.  Document root
B.  Robots.txt
C.  domain.txt
D.  index.html
","C.  domain.txt
The domain.txt file is a rich target to discover the structure of a website during web-server footprinting. It contains the domain name, the IP address, and the host name of the server. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites. It is a common practice to use this file to identify the server's location and to block access to malicious websites. This file is often used to identify the server's location and to block access to malicious websites.",C,B,0
60,"Morris, a professional hacker, performed a vulnerability scan on a target organization by sniffing the traffic on
the network lo identify the active systems, network services, applications, and vulnerabilities. He also obtained
the list of the users who are currently accessing the network. What is the type of vulnerability assessment that
Morris performed on the target organization?
A.  internal assessment
B.  Passive assessment
C.  External assessment
D.  Credentialed assessment
","B. Passive assessment is the type of vulnerability assessment that Morris performed on the target organization. The passive assessment involves the collection of information about the target without the use of any active techniques. The passive assessment is also known as the passive reconnaissance. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The passive assessment is performed by sniffing the traffic on the network to identify the active systems, network services, applications, and vulnerabilities. The",B,B,1
61,"jane, an ethical hacker. Is testing a target organization's web server and website to identity security loopholes.
In this process, she copied the entire website and its content on a local drive to view the complete profile of the
site's directory structure, file structure, external links, images, web pages, and so on. This information helps
jane map the website's directories and gain valuable information. What is the attack technique employed by
Jane in the above scenario?
A.  website mirroring
B.  Session hijacking
C.  Web cache poisoning
D.  Website defacement
","A.  website mirroring
The scenario describes Jane copying the entire website and its content on a local drive to view the complete
profile of the site's directory structure, file structure, external links, images, web pages, and so on. This
information helps Jane map the website's directories and gain valuable information. The technique used in
this scenario is website mirroring. Mirroring is the process of copying a website's content to a local drive. This
information helps Jane map the website's directories and gain valuable information.
B.  Session hijacking
Session hijacking is a type of attack that involves intercepting a user's session and using it to gain unauthorized
access to the target system. This attack can be performed using various techniques, including session
stealing, session replay, and session hijacking. Session hijacking is a type of attack that involves intercepting a
user's session and using it to gain unauthorized access to the target system. This attack can be performed using
various techniques, including session stealing, session replay, and session hijacking. Session hijacking is a
type of attack that involves intercepting a user's session and using it to gain unauthorized access to the target
system. This attack can be performed using various techniques, including session stealing, session replay, and
session hijacking. Session hijacking is a type of attack that involves intercepting a user's session and using it to
gain unauthorized access to the target system. This attack can be performed using various techniques, including
session stealing, session replay, and session hijacking. Session hijacking is a type of attack that involves
intercepting a user's session and using it to gain unauthorized access to the target system. This attack can be
performed using various techniques, including session stealing, session replay, and session hijacking. Session
hijacking is a type of attack that involves intercepting a user's session and using it to gain unauthorized access",A,A,1
62,"What information security law or standard aims at protecting stakeholders and the general public from
accounting errors and fraudulent activities within organizations?
A.  PCI-DSS
B.  FISMA
C.  SOX
D.  ISO/I EC 27001:2013
","A.  PCI-DSS
The Payment Card Industry Data Security Standard (PCI-DSS) is a set of security standards for protecting cardholder data. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves from credit card fraud and other types of data breaches. The standard is designed to help organizations protect themselves from credit card fraud and other types of data breaches. It was developed by the Payment Card Industry (PCI) Security Standards Council to help organizations protect themselves",A,C,0
63,"CyberTech Inc. recently experienced SQL injection attacks on its official website. The company appointed
Bob, a security professional, to build and incorporate defensive strategies against such attacks. Bob adopted a
practice whereby only a list of entities such as the data type, range, size, and value, which have been approved
for secured access, is accepted. What is the defensive technique employed by Bob in the above scenario?
A.  Output encoding
B.  Enforce least privileges
C.  Whitelist validation
D.  Blacklist validation
","C. Whitelist validation is the defensive technique employed by Bob in the above scenario. Whitelisting is a security practice that allows only authorized users to access certain resources. It involves restricting access to specific files, directories, or applications. Whitelisting can be achieved through various methods, such as using a whitelist file or a whitelist database. The whitelist file or database contains a list of authorized users or resources, which are then checked against the requests made by the users or applications. Whitelisting can help prevent unauthorized access to sensitive information or resources, reducing the risk of data breaches or other security incidents.",C,C,1
64,"A security analyst uses Zenmap to perform an ICMP timestamp ping scan to acquire information related to the
current time from the target host machine.
Which of the following Zenmap options must the analyst use to perform the ICMP timestamp ping scan?
A.  -PY
B.  -PU
C.  -PP
D.  -Pn
","A.  -PY
B.  -PU
C.  -PP
D.  -Pn
The correct option is -PY, which is the default option for Zenmap. The -PY option enables the use of the Python programming language, which is used to generate ICMP timestamp pings. The -PU option enables the use of the Perl programming language, which is used to generate ICMP timestamp pings. The -PP option enables the use of the Perl programming language, which is used to generate ICMP timestamp pings. The -Pn option enables the use of the Perl programming language, which is used to generate ICMP timestamp pings. The -Pn option is not a valid option for the Zenmap ICMP timestamp ping scan, as it is not a valid option for the Zenmap Python, Perl, or Perl programming language, which are used to generate ICMP timestamp pings. The -Pn option is not a valid option for the Zenmap ICMP timestamp ping scan, as it is not a valid option for the Zenmap Python, Perl, or Perl programming language, which are used to generate ICMP timestamp pings. The -Pn option is not a valid option for the Zenmap ICMP timestamp ping scan, as it is not a valid option for the Zenmap Python, Perl, or Perl programming language, which are used to generate ICMP timestamp pings. The -Pn option is not a valid option for the Zenmap ICMP timestamp ping scan, as it is not a valid option for the Zenmap Python, Perl, or Perl programming language, which are used to generate ICMP timestamp pings. The -Pn option is not a valid option for the Zenmap ICMP timestamp ping scan, as it is not a valid option for the Zenmap Python, Perl, or Perl programming language, which are used to generate ICMP timestamp pings. The -Pn option is not a valid option for the Zenmap ICMP timestamp ping scan, as it",A,C,0
